,cluster
1392,1
1393,1
1394,2
1395,2
1396,1
1397,0
1398,1
1399,1
1400,2
1401,1
1402,1
1403,2
1404,7
1405,2
1406,4
1407,0
1408,0
1409,4
1410,1
1411,5
1412,8
1413,2
1414,1
1415,0
1416,3
1417,2
1418,1
1419,2
1420,0
1421,2
1422,0
1423,4
1424,1
1425,0
1426,2
1427,1
1428,1
1429,0
1430,0
1431,1
1432,2
1433,1
1434,2
1435,4
1436,0
1437,8
1438,1
1439,5
1440,1
1441,7
1442,1
1443,0
1444,2
1445,4
1446,2
1447,4
1448,7
1449,0
1450,1
1451,7
1452,8
1453,5
1454,1
1455,1
1456,0
1457,0
1458,4
1459,2
1460,0
1461,0
1462,4
1463,2
1464,2
1465,0
1466,1
1467,7
1468,1
1469,1
1470,2
1471,5
1472,1
1473,2
1474,5
1475,0
1476,0
1477,2
1478,5
1479,1
1480,1
1481,2
1482,6
1483,1
1484,1
1485,1
1486,0
1487,1
1488,2
1489,6
1490,7
1491,7
1492,8
1493,0
1494,1
1495,2
1496,1
1497,2
1498,0
1499,5
1500,1
1501,8
1502,1
1503,1
1504,1
1505,2
1506,2
1507,0
1508,1
1509,2
1510,4
1511,1
1512,4
1513,0
1514,2
1515,3
1516,5
1517,0
1518,1
1519,0
1520,1
1521,2
1522,0
1523,1
1524,2
1525,1
1526,0
1527,2
1528,1
1529,0
1530,1
1531,2
1532,5
1533,0
1534,4
1535,1
1536,1
1537,1
1538,1
1539,5
1540,4
1541,1
1542,0
1543,2
1544,0
1545,1
1546,0
1547,4
1548,4
1549,0
1550,5
1551,1
1552,1
1553,7
1554,0
1555,0
1556,4
1557,3
1558,0
1559,1
1560,7
1561,2
1562,1
1563,2
1564,1
1565,0
1566,4
1567,5
1568,2
1569,0
1570,2
1571,4
1572,0
1573,1
1574,1
1575,0
1576,2
1577,2
1578,1
1579,6
1580,1
1581,1
1582,6
1583,0
1584,1
1585,2
1586,1
1587,6
1588,8
1589,2
1590,0
1591,6
1592,1
1593,8
1594,2
1595,4
1596,2
1597,7
1598,1
1599,1
1600,2
1601,1
1602,2
1603,4
1604,4
1605,2
1606,1
1607,6
1608,1
1609,0
1610,0
1611,5
1612,4
1613,1
1614,1
1615,2
1616,7
1617,1
1618,0
1619,0
1620,6
1621,2
1622,1
1623,1
1624,2
1625,6
1626,8
1627,1
1628,1
1629,0
1630,4
1631,1
1632,2
1633,0
1634,2
1635,2
1636,2
1637,4
1638,0
1639,0
1640,5
1641,7
1642,5
1643,0
1644,7
1645,2
1646,2
1647,1
1648,5
1649,2
1650,7
1651,2
1652,1
1653,1
1654,1
1655,2
1656,2
1657,6
1658,8
1659,1
1660,1
1661,6
1662,1
1663,2
1664,0
1665,5
1666,1
1667,1
1668,8
1669,3
1670,2
1671,2
1672,7
1673,2
1674,1
1675,4
1676,0
1677,1
1678,1
1679,0
1680,8
1681,0
1682,2
1683,0
1684,1
1685,4
1686,2
1687,2
1688,0
1689,2
1690,4
1691,1
1692,1
1693,1
1694,0
1695,5
1696,2
1697,2
1698,1
1699,1
1700,0
1701,0
1702,1
1703,2
1704,0
1705,5
1706,2
1707,3
1708,1
1709,7
1710,0
1711,1
1712,1
1713,0
1714,1
1715,1
1716,2
1717,1
1718,1
1719,1
1720,5
1721,1
1722,4
1723,0
1724,4
1725,1
1726,4
1727,1
1728,1
